Commit_SHA,Parent_SHA,File_Path,File_Name,Tool,Status,Normalized_CC_Before,Normalized_CC_After,Normalized_HV_Before,Normalized_HV_After,Comment_Ratio_Before,Comment_Ratio_After,Comment_Readability_Before,Comment_Readability_After,Style_Conformance_Score_Before,Style_Conformance_Score_After,Clone_Density_Before,Clone_Density_After
60685c95bdece53d102a7ef3c153633b7b441033,026088e253294657462848bf6c09fc792255cc90,__COMMIT_TOTAL__,__COMMIT_TOTAL__,ALL,SUMMARY,0.0248,0.0247,46.4144,47.4207,0.0,0.0,0.0,0.0,,,,
31dbe22da1682dc548af1a03ed659d38373b450b,7cee8b8ff517a273049266db82f37e2264d69515,build.gradle,build.gradle,Gradle,modified,0.0395,0.039,42.1876,42.2497,0.011,0.0109,38.3,38.3,0.92,0.92,0.079,0.078
31dbe22da1682dc548af1a03ed659d38373b450b,7cee8b8ff517a273049266db82f37e2264d69515,__COMMIT_TOTAL__,__COMMIT_TOTAL__,ALL,SUMMARY,0.0395,0.039,42.1876,42.2497,0.011,0.0109,38.3,38.3,,,,
354b5d5629dd28fad6943746051418bc716fe7f8,0af45926de5e70a254a22eebf36dc8617dac5685,elasticviews/build.gradle,build.gradle,Gradle,modified,0.0345,0.0345,46.0469,46.0469,0.0278,0.0278,0.0,0.0,1.0,1.0,0.0,0.0
354b5d5629dd28fad6943746051418bc716fe7f8,0af45926de5e70a254a22eebf36dc8617dac5685,__COMMIT_TOTAL__,__COMMIT_TOTAL__,ALL,SUMMARY,0.0345,0.0345,46.0469,46.0469,0.0278,0.0278,0.0,0.0,,,,
e7f29e455ad6cc76904e1368cae1a1b1af7399d6,48d1446a804724e287264a47f796d92617a22d7c,app/build.gradle,build.gradle,Gradle,modified,0.0192,0.0192,48.6163,48.6163,0.0897,0.0897,-1.25,-1.25,1.0,1.0,0.0,0.0
e7f29e455ad6cc76904e1368cae1a1b1af7399d6,48d1446a804724e287264a47f796d92617a22d7c,__COMMIT_TOTAL__,__COMMIT_TOTAL__,ALL,SUMMARY,0.0192,0.0192,48.6163,48.6163,0.0897,0.0897,-1.25,-1.25,,,,
17441277f445ab262366a34bf9be856bf48bf544,f44398f737e02ffd5ddeacd5d5ed0dce2abd5746,build.gradle,build.gradle,Gradle,modified,0.069,0.0263,28.6952,32.4347,0.0769,0.0962,52.11,46.61,0.45,0.5,0.0,0.0
17441277f445ab262366a34bf9be856bf48bf544,f44398f737e02ffd5ddeacd5d5ed0dce2abd5746,gradle/maven_push.gradle,maven_push.gradle,Gradle,renamed,0.0,0.0778,0.0,53.831,0.0,0.0202,0.0,56.25,0.0,0.41,0.0,0.067
17441277f445ab262366a34bf9be856bf48bf544,f44398f737e02ffd5ddeacd5d5ed0dce2abd5746,tracklytics-plugin/build.gradle,build.gradle,Gradle,modified,0.027,0.0294,37.3176,37.1991,0.0,0.0,0.0,0.0,0.3,0.26,0.0,0.0
17441277f445ab262366a34bf9be856bf48bf544,f44398f737e02ffd5ddeacd5d5ed0dce2abd5746,tracklytics-runtime/build.gradle,build.gradle,Gradle,modified,0.1013,0.1013,50.6889,53.1005,0.0,0.0,0.0,0.0,0.47,0.47,0.0,0.0
