Commit_SHA,Parent_SHA,File_Path,File_Name,Tool,Status,Before_Security_Smell_Count,After_Security_Smell_Count,Before_Security_Smell_Density,After_Security_Smell_Density,Before_Security_Smell_Summary,After_Security_Smell_Summary,Before_HARDCODED_CREDENTIALS,Before_INSECURE_URLS,Before_WILDCARD_USAGE,Before_HARDCODED_PATHS_AND_URLS,Before_DEPRECATED_DEPENDENCIES,Before_OUTDATED_DEPENDENCIES,After_HARDCODED_CREDENTIALS,After_INSECURE_URLS,After_WILDCARD_USAGE,After_HARDCODED_PATHS_AND_URLS,After_DEPRECATED_DEPENDENCIES,After_OUTDATED_DEPENDENCIES
4f03800c1236a947e831b3fa372720ca75071b77,ad29434ac054b0c858b979801bf00a04ee977861,__COMMIT_TOTAL__,__COMMIT_TOTAL__,ALL,SUMMARY,18,18,0.0659,0.0662,HARDCODED_PATHS_AND_URLS;INSECURE_URLS,HARDCODED_PATHS_AND_URLS;INSECURE_URLS,0,1,0,1,0,0,0,1,0,1,0,0
2db614bf4ea19572e49994d9d18e90acaf882147,69e0a4f0b68f0549c083f94b4db16cf62f4be4ae,sample/build.gradle,build.gradle,Gradle,modified,0,0,0.0,0.0,,,0,0,0,0,0,0,0,0,0,0,0,0
2db614bf4ea19572e49994d9d18e90acaf882147,69e0a4f0b68f0549c083f94b4db16cf62f4be4ae,__COMMIT_TOTAL__,__COMMIT_TOTAL__,ALL,SUMMARY,0,0,0.0,0.0,,,0,0,0,0,0,0,0,0,0,0,0,0
60685c95bdece53d102a7ef3c153633b7b441033,026088e253294657462848bf6c09fc792255cc90,build.gradle,build.gradle,Gradle,modified,1,0,0.0476,0.0,HARDCODED_PATHS_AND_URLS,,0,0,0,1,0,0,0,0,0,0,0,0
60685c95bdece53d102a7ef3c153633b7b441033,026088e253294657462848bf6c09fc792255cc90,demo/build.gradle,build.gradle,Gradle,modified,1,1,0.0196,0.0196,WILDCARD_USAGE,WILDCARD_USAGE,0,0,1,0,0,0,0,0,1,0,0,0
60685c95bdece53d102a7ef3c153633b7b441033,026088e253294657462848bf6c09fc792255cc90,dependencies.gradle,dependencies.gradle,Gradle,modified,0,1,0.0,0.0167,,HARDCODED_PATHS_AND_URLS,0,0,0,0,0,0,0,0,0,1,0,0
60685c95bdece53d102a7ef3c153633b7b441033,026088e253294657462848bf6c09fc792255cc90,library/build.gradle,build.gradle,Gradle,modified,1,1,0.0294,0.0303,WILDCARD_USAGE,WILDCARD_USAGE,0,0,1,0,0,0,0,0,1,0,0,0
60685c95bdece53d102a7ef3c153633b7b441033,026088e253294657462848bf6c09fc792255cc90,__COMMIT_TOTAL__,__COMMIT_TOTAL__,ALL,SUMMARY,3,3,0.0186,0.0185,HARDCODED_PATHS_AND_URLS;WILDCARD_USAGE,HARDCODED_PATHS_AND_URLS;WILDCARD_USAGE,0,0,1,1,0,0,0,0,1,1,0,0
31dbe22da1682dc548af1a03ed659d38373b450b,7cee8b8ff517a273049266db82f37e2264d69515,build.gradle,build.gradle,Gradle,modified,9,9,0.1184,0.1169,HARDCODED_CREDENTIALS;HARDCODED_PATHS_AND_URLS;INSECURE_URLS;WILDCARD_USAGE,HARDCODED_CREDENTIALS;HARDCODED_PATHS_AND_URLS;INSECURE_URLS;WILDCARD_USAGE,1,1,1,1,0,0,1,1,1,1,0,0
31dbe22da1682dc548af1a03ed659d38373b450b,7cee8b8ff517a273049266db82f37e2264d69515,__COMMIT_TOTAL__,__COMMIT_TOTAL__,ALL,SUMMARY,9,9,0.1184,0.1169,HARDCODED_CREDENTIALS;HARDCODED_PATHS_AND_URLS;INSECURE_URLS;WILDCARD_USAGE,HARDCODED_CREDENTIALS;HARDCODED_PATHS_AND_URLS;INSECURE_URLS;WILDCARD_USAGE,1,1,1,1,0,0,1,1,1,1,0,0
354b5d5629dd28fad6943746051418bc716fe7f8,0af45926de5e70a254a22eebf36dc8617dac5685,elasticviews/build.gradle,build.gradle,Gradle,modified,0,0,0.0,0.0,,,0,0,0,0,0,0,0,0,0,0,0,0
354b5d5629dd28fad6943746051418bc716fe7f8,0af45926de5e70a254a22eebf36dc8617dac5685,__COMMIT_TOTAL__,__COMMIT_TOTAL__,ALL,SUMMARY,0,0,0.0,0.0,,,0,0,0,0,0,0,0,0,0,0,0,0
e7f29e455ad6cc76904e1368cae1a1b1af7399d6,48d1446a804724e287264a47f796d92617a22d7c,app/build.gradle,build.gradle,Gradle,modified,1,1,0.0192,0.0192,WILDCARD_USAGE,WILDCARD_USAGE,0,0,1,0,0,0,0,0,1,0,0,0
e7f29e455ad6cc76904e1368cae1a1b1af7399d6,48d1446a804724e287264a47f796d92617a22d7c,__COMMIT_TOTAL__,__COMMIT_TOTAL__,ALL,SUMMARY,1,1,0.0192,0.0192,WILDCARD_USAGE,WILDCARD_USAGE,0,0,1,0,0,0,0,0,1,0,0,0
17441277f445ab262366a34bf9be856bf48bf544,f44398f737e02ffd5ddeacd5d5ed0dce2abd5746,build.gradle,build.gradle,Gradle,modified,0,0,0.0,0.0,,,0,0,0,0,0,0,0,0,0,0,0,0
17441277f445ab262366a34bf9be856bf48bf544,f44398f737e02ffd5ddeacd5d5ed0dce2abd5746,gradle/maven_push.gradle,maven_push.gradle,Gradle,renamed,0,4,0.0,0.0444,,HARDCODED_CREDENTIALS;HARDCODED_PATHS_AND_URLS;WILDCARD_USAGE,0,0,0,0,0,0,1,0,1,1,0,0
17441277f445ab262366a34bf9be856bf48bf544,f44398f737e02ffd5ddeacd5d5ed0dce2abd5746,tracklytics-plugin/build.gradle,build.gradle,Gradle,modified,0,0,0.0,0.0,,,0,0,0,0,0,0,0,0,0,0,0,0
17441277f445ab262366a34bf9be856bf48bf544,f44398f737e02ffd5ddeacd5d5ed0dce2abd5746,tracklytics-runtime/build.gradle,build.gradle,Gradle,modified,1,1,0.0127,0.0127,WILDCARD_USAGE,WILDCARD_USAGE,0,0,1,0,0,0,0,0,1,0,0,0
17441277f445ab262366a34bf9be856bf48bf544,f44398f737e02ffd5ddeacd5d5ed0dce2abd5746,__COMMIT_TOTAL__,__COMMIT_TOTAL__,ALL,SUMMARY,1,5,0.0069,0.0207,WILDCARD_USAGE,HARDCODED_CREDENTIALS;HARDCODED_PATHS_AND_URLS;WILDCARD_USAGE,0,0,1,0,0,0,1,0,1,1,0,0
14a86e0028b1aaeb00a01197d229dff33fe80712,cd1a0cc7ccdc400eff1252ffd14ee8eb90ed04e8,build.gradle,build.gradle,Gradle,modified,0,9,0.0,0.09,,HARDCODED_CREDENTIALS;HARDCODED_PATHS_AND_URLS;INSECURE_URLS,0,0,0,0,0,0,1,1,0,1,0,0
14a86e0028b1aaeb00a01197d229dff33fe80712,cd1a0cc7ccdc400eff1252ffd14ee8eb90ed04e8,__COMMIT_TOTAL__,__COMMIT_TOTAL__,ALL,SUMMARY,0,9,0.0,0.09,,HARDCODED_CREDENTIALS;HARDCODED_PATHS_AND_URLS;INSECURE_URLS,0,0,0,0,0,0,1,1,0,1,0,0
d6e5e7b44a25f678b2fdb2827306ffe34c75bff7,b083417e5b86ceda11db036e3e5c57ebf2049af4,DaliTestApp/build.gradle,build.gradle,Gradle,modified,0,0,0.0,0.0,,,0,0,0,0,0,0,0,0,0,0,0,0
d6e5e7b44a25f678b2fdb2827306ffe34c75bff7,b083417e5b86ceda11db036e3e5c57ebf2049af4,build.gradle,build.gradle,Gradle,modified,0,0,0.0,0.0,,,0,0,0,0,0,0,0,0,0,0,0,0
d6e5e7b44a25f678b2fdb2827306ffe34c75bff7,b083417e5b86ceda11db036e3e5c57ebf2049af4,dali/build.gradle,build.gradle,Gradle,modified,0,0,0.0,0.0,,,0,0,0,0,0,0,0,0,0,0,0,0
d6e5e7b44a25f678b2fdb2827306ffe34c75bff7,b083417e5b86ceda11db036e3e5c57ebf2049af4,gradle/common-build.gradle,common-build.gradle,Gradle,added,0,0,0.0,0.0,,,0,0,0,0,0,0,0,0,0,0,0,0
d6e5e7b44a25f678b2fdb2827306ffe34c75bff7,b083417e5b86ceda11db036e3e5c57ebf2049af4,gradle/publish.gradle,publish.gradle,Gradle,renamed,0,9,0.0,0.1071,,HARDCODED_CREDENTIALS;HARDCODED_PATHS_AND_URLS;INSECURE_URLS;WILDCARD_USAGE,0,0,0,0,0,0,1,1,1,1,0,0
d6e5e7b44a25f678b2fdb2827306ffe34c75bff7,b083417e5b86ceda11db036e3e5c57ebf2049af4,__COMMIT_TOTAL__,__COMMIT_TOTAL__,ALL,SUMMARY,0,9,0.0,0.034,,HARDCODED_CREDENTIALS;HARDCODED_PATHS_AND_URLS;INSECURE_URLS;WILDCARD_USAGE,0,0,0,0,0,0,1,1,1,1,0,0
1c21bde52c98c96f56d6508b3e00305fd656ce06,6ab16830c2798e418e573e80c1e4b1ba9ff81bc5,speechrecognitionview/build.gradle,build.gradle,Gradle,modified,0,0,0.0,0.0,,,0,0,0,0,0,0,0,0,0,0,0,0
1c21bde52c98c96f56d6508b3e00305fd656ce06,6ab16830c2798e418e573e80c1e4b1ba9ff81bc5,__COMMIT_TOTAL__,__COMMIT_TOTAL__,ALL,SUMMARY,0,0,0.0,0.0,,,0,0,0,0,0,0,0,0,0,0,0,0
91ef8961461561a1f569f76a3d5f1603b12a2921,13916c8471abc88f662b0b447b02b5c1443547c5,build.gradle,build.gradle,Gradle,modified,2,4,0.0241,0.0404,HARDCODED_PATHS_AND_URLS,HARDCODED_PATHS_AND_URLS;WILDCARD_USAGE,0,0,0,1,0,0,0,0,1,1,0,0
91ef8961461561a1f569f76a3d5f1603b12a2921,13916c8471abc88f662b0b447b02b5c1443547c5,build.workaround-missing-resource.gradle,build.workaround-missing-resource.gradle,Gradle,renamed,0,4,0.0,0.3333,,HARDCODED_PATHS_AND_URLS,0,0,0,0,0,0,0,0,0,1,0,0
91ef8961461561a1f569f76a3d5f1603b12a2921,13916c8471abc88f662b0b447b02b5c1443547c5,storio-content-resolver-annotations-processor-test/build.gradle,build.gradle,Gradle,modified,2,0,0.0667,0.0,WILDCARD_USAGE,,0,0,1,0,0,0,0,0,0,0,0,0
91ef8961461561a1f569f76a3d5f1603b12a2921,13916c8471abc88f662b0b447b02b5c1443547c5,storio-sqlite-annotations-processor-test/build.gradle,build.gradle,Gradle,modified,2,0,0.0667,0.0,WILDCARD_USAGE,,0,0,1,0,0,0,0,0,0,0,0,0
91ef8961461561a1f569f76a3d5f1603b12a2921,13916c8471abc88f662b0b447b02b5c1443547c5,storio-sqlite-annotations-processor-test/build.workaround-missing-resource.gradle,build.workaround-missing-resource.gradle,Gradle,removed,4,0,0.3333,0.0,HARDCODED_PATHS_AND_URLS,,0,0,0,1,0,0,0,0,0,0,0,0
91ef8961461561a1f569f76a3d5f1603b12a2921,13916c8471abc88f662b0b447b02b5c1443547c5,__COMMIT_TOTAL__,__COMMIT_TOTAL__,ALL,SUMMARY,10,8,0.0645,0.0559,HARDCODED_PATHS_AND_URLS;WILDCARD_USAGE,HARDCODED_PATHS_AND_URLS;WILDCARD_USAGE,0,0,1,1,0,0,0,0,1,1,0,0
adcaeab64fb435d35f1f6e9559e591277470ef6d,50a7c87f2cd9ff2b44c59f34561706dfece0f749,javatests/artifacts/dagger/build.gradle,build.gradle,Gradle,renamed,0,2,0.0,0.0526,,HARDCODED_PATHS_AND_URLS;INSECURE_URLS,0,0,0,0,0,0,0,1,0,1,0,0
