Commit_SHA,Parent_SHA,File_Path,File_Name,Tool,Status,Additions,Deletions,Changes,BLOC_Before,BLOC_After,Cyclomatic_Complexity_Before,Cyclomatic_Complexity_After,Normalized_CC_Before,Normalized_CC_After,Halstead_Volume_Before,Halstead_Volume_After,Normalized_HV_Before,Normalized_HV_After,Dependency_Count_Before,Dependency_Count_After,Fixed_Dependency_Count_Before,Fixed_Dependency_Count_After,Dynamic_Dependency_Count_Before,Dynamic_Dependency_Count_After,Snapshot_Dependency_Count_Before,Snapshot_Dependency_Count_After,Unknown_Dependency_Count_Before,Unknown_Dependency_Count_After,DSS_Before,DSS_After,DSS_Delta,Non_Deterministic_Constructs_Before,Non_Deterministic_Constructs_After,Non_Deterministic_Summary_Before,Non_Deterministic_Summary_After,BDS_Before,BDS_After,BDS_Delta,Comment_Ratio_Before,Comment_Ratio_After,Comment_Readability_Before,Comment_Readability_After,Style_Conformance_Score_Before,Style_Conformance_Score_After,Clone_Density_Before,Clone_Density_After,CP_Internal_Before,CP_Internal_After,CP_External_Before,CP_External_After,CP_Total_Before,CP_Total_After,NCP_Internal_Before,NCP_Internal_After,NCP_External_Before,NCP_External_After,Coupling_Ratio_Before,Coupling_Ratio_After,External_Risk_Factors_Before,External_Risk_Factors_After,EDR_Before,EDR_After,EDR_Delta,Build_Cohesion_Before,Build_Cohesion_After,Build_Modularity_Before,Build_Modularity_After,Churn_Before,Churn_After,Change_Frequency_Before,Change_Frequency_After,Avg_Logical_LOC_Before,Avg_Logical_LOC_After,Normalized_Churn_Before,Normalized_Churn_After,Normalized_Change_Frequency_Before,Normalized_Change_Frequency_After,Observation_Window_Days,Reliability_Issues_Before,Reliability_Issues_After,RE_Before,RE_After,RE_Delta,RM_Before,RM_After,RM_Delta,Before_Smell_Count,After_Smell_Count,Before_Smell_Density,After_Smell_Density,Before_Smell_Summary,After_Smell_Summary,Smell_Count_Delta,Smell_Density_Delta,Introduced_Smells,Removed_Smells,Before_Security_Smell_Count,After_Security_Smell_Count,Before_Security_Smell_Density,After_Security_Smell_Density,Before_Security_Smell_Summary,After_Security_Smell_Summary,Security_Smell_Count_Delta,Security_Smell_Density_Delta,Introduced_Security_Smells,Removed_Security_Smells,Before_EMPTY_INCOMPLETE_TAGS,Before_INCONSISTENT_DEPENDENCY_MANAGEMENT,Before_LACK_OF_ERROR_HANDLING,Before_MISSING_DEPENDENCY_VERSION,Before_SUSPICIOUS_COMMENTS,Before_DEPRECATED_DEPENDENCIES,Before_OUTDATED_DEPENDENCIES,After_EMPTY_INCOMPLETE_TAGS,After_INCONSISTENT_DEPENDENCY_MANAGEMENT,After_LACK_OF_ERROR_HANDLING,After_MISSING_DEPENDENCY_VERSION,After_SUSPICIOUS_COMMENTS,After_DEPRECATED_DEPENDENCIES,After_OUTDATED_DEPENDENCIES,Before_HARDCODED_CREDENTIALS,Before_INSECURE_URLS,Before_WILDCARD_USAGE,Before_HARDCODED_PATHS_AND_URLS,After_HARDCODED_CREDENTIALS,After_INSECURE_URLS,After_WILDCARD_USAGE,After_HARDCODED_PATHS_AND_URLS
4f03800c1236a947e831b3fa372720ca75071b77,ad29434ac054b0c858b979801bf00a04ee977861,build.gradle,build.gradle,Gradle,modified,5,6,11,78,79,2,2,0.0256,0.0253,4434.99,4604.38,56.8588,58.2833,3,3,1,1,0,0,0,0,2,2,0.3333,0.3333,0.0,0,0,,,1.0,1.0,0.0,0.1,0.1009,46.51,46.51,0.45,0.46,0.078,0.0,0,0,16,16,16,16,0.0,0.0,0.2051,0.2025,1.0,1.0,15,15,0.9375,0.9375,0.0,0.0,0.0,0.0,0.0,75,75,10,10,81.6,81.6,0.9191,0.9191,12.2549,12.2549,30,1,1,0.9872,0.9873,0.0001,0.461,0.461,0.0,2,2,0.0256,0.0253,,,0,-0.0003,0,0,1,1,0.0128,0.0127,HARDCODED_PATHS_AND_URLS,HARDCODED_PATHS_AND_URLS,0,-0.0001,0,0,0,1,0,0,1,0,0,0,1,0,0,1,0,0,0,0,0,1,0,0,0,1
4f03800c1236a947e831b3fa372720ca75071b77,ad29434ac054b0c858b979801bf00a04ee977861,buildSrc/build.gradle,build.gradle,Gradle,modified,2,5,7,48,46,1,1,0.0208,0.0217,2182.68,2114.24,45.4725,45.9617,7,7,2,2,0,0,0,0,5,5,0.2857,0.2857,0.0,0,0,,,1.0,1.0,0.0,0.2824,0.2927,45.93,45.13,0.46,0.46,0.0,0.0,0,0,23,22,23,22,0.0,0.0,0.4792,0.4783,1.0,1.0,23,22,1.0,1.0,0.0,0.0,0.0,0.0,0.0,15,15,4,4,47.0,47.0,0.3191,0.3191,8.5106,8.5106,30,3,3,0.9375,0.9348,-0.0027,0.4077,0.4068,-0.0009,2,2,0.0417,0.0435,,,0,0.0018,0,0,3,3,0.0625,0.0652,HARDCODED_PATHS_AND_URLS;INSECURE_URLS,HARDCODED_PATHS_AND_URLS;INSECURE_URLS,0,0.0027,0,0,0,1,0,0,1,0,0,0,1,0,0,1,0,0,0,1,0,1,0,1,0,1
4f03800c1236a947e831b3fa372720ca75071b77,ad29434ac054b0c858b979801bf00a04ee977861,project/deviceComponents/deviceControlDaemon/build.gradle,build.gradle,Gradle,modified,1,0,1,61,62,1,1,0.0164,0.0161,2786.41,2893.84,45.6789,46.6748,8,8,7,7,0,0,0,0,1,1,0.875,0.875,0.0,0,0,,,1.0,1.0,0.0,0.2828,0.28,45.35,45.35,0.36,0.37,0.0,0.0,0,0,25,25,25,25,0.0,0.0,0.4098,0.4032,1.0,1.0,24,24,0.96,0.96,0.0,0.0,0.0,0.0,0.0,5,5,2,2,61.5,61.5,0.0813,0.0813,3.252,3.252,30,3,3,0.9508,0.9516,0.0008,0.6219,0.6222,0.0003,1,1,0.0164,0.0161,,,0,-0.0003,0,0,3,3,0.0492,0.0484,HARDCODED_PATHS_AND_URLS;INSECURE_URLS,HARDCODED_PATHS_AND_URLS;INSECURE_URLS,0,-0.0008,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,1,0,1,0,1,0,1
4f03800c1236a947e831b3fa372720ca75071b77,ad29434ac054b0c858b979801bf00a04ee977861,project/deviceComponents/deviceControlDaemon/settings.gradle,settings.gradle,Gradle,modified,1,4,5,13,11,1,1,0.0769,0.0909,220.0,129.52,16.9231,11.7745,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0,0,,,1.0,1.0,0.0,0.5854,0.6316,46.98,46.98,0.92,1.0,0.0,0.0,0,0,1,1,1,1,0.0,0.0,0.0769,0.0909,1.0,1.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5,5,1,1,11.0,11.0,0.4545,0.4545,9.0909,9.0909,30,5,5,0.6154,0.5455,-0.0699,0.5385,0.5152,-0.0233,1,1,0.0769,0.0909,,,0,0.014,0,0,5,5,0.3846,0.4545,HARDCODED_PATHS_AND_URLS;INSECURE_URLS,HARDCODED_PATHS_AND_URLS;INSECURE_URLS,0,0.0699,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,1,0,1,0,1,0,1
4f03800c1236a947e831b3fa372720ca75071b77,ad29434ac054b0c858b979801bf00a04ee977861,project/pcComponents/core/build.gradle,build.gradle,Gradle,modified,1,0,1,63,64,1,1,0.0159,0.0156,2314.05,2365.14,36.731,36.9553,21,21,20,20,0,0,0,0,1,1,0.9524,0.9524,0.0,0,0,,,1.0,1.0,0.0,0.2712,0.2689,40.67,40.67,0.4,0.39,0.0,0.0,0,0,45,46,45,46,0.0,0.0,0.7143,0.7188,1.0,1.0,43,44,0.9556,0.9565,0.0009,0.0,0.0,0.0,0.0,5,5,3,3,64.3333,64.3333,0.0777,0.0777,4.6632,4.6632,30,6,6,0.9048,0.9062,0.0014,0.6339,0.634,0.0001,1,1,0.0159,0.0156,,,0,-0.0003,0,0,6,6,0.0952,0.0938,HARDCODED_PATHS_AND_URLS;INSECURE_URLS,HARDCODED_PATHS_AND_URLS;INSECURE_URLS,0,-0.0014,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,1,0,1,0,1,0,1
4f03800c1236a947e831b3fa372720ca75071b77,ad29434ac054b0c858b979801bf00a04ee977861,versions.gradle,versions.gradle,Gradle,modified,1,1,2,10,10,1,1,0.1,0.1,250.36,250.36,25.036,25.036,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0,0,,,1.0,1.0,0.0,0.0714,0.0714,64.63,64.63,0.2,0.2,0.0,0.0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,13,13,6,6,10.0,10.0,1.3,1.3,60.0,60.0,30,0,0,1.0,1.0,0.0,0.6667,0.6667,0.0,0,0,0.0,0.0,,,0,0.0,0,0,0,0,0.0,0.0,,,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4f03800c1236a947e831b3fa372720ca75071b77,ad29434ac054b0c858b979801bf00a04ee977861,__COMMIT_TOTAL__,__COMMIT_TOTAL__,ALL,SUMMARY,11,16,27,273,272,7,7,0.0256,0.0257,12188.49,12357.48,44.6465,45.4319,39,39,30,30,0,0,0,0,9,9,0.7692,0.7692,0.0,0,0,,,1.0,1.0,0.0,0.257,0.2597,45.46,45.35,,,,,0,0,110,110,110,110,0.0,0.0,0.4029,0.4044,1.0,1.0,105,105,0.9545,0.9545,0.0,,,0.0,0.0,118,118,26,26,,,,,,,30,18,18,0.9341,0.9338,-0.0003,0.5829,0.5828,-0.0001,7,7,0.0256,0.0257,,,0,0.0001,0,0,18,18,0.0659,0.0662,HARDCODED_PATHS_AND_URLS;INSECURE_URLS,HARDCODED_PATHS_AND_URLS;INSECURE_URLS,0,0.0003,0,0,0,1,0,0,1,0,0,0,1,0,0,1,0,0,0,1,0,1,0,1,0,1
2db614bf4ea19572e49994d9d18e90acaf882147,69e0a4f0b68f0549c083f94b4db16cf62f4be4ae,sample/build.gradle,build.gradle,Gradle,modified,6,2,8,25,28,1,1,0.04,0.0357,820.99,929.17,32.8396,33.1846,2,2,2,2,0,0,0,0,0,0,1.0,1.0,0.0,0,0,,,1.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0,0,7,7,7,7,0.0,0.0,0.28,0.25,1.0,1.0,6,6,0.8571,0.8571,0.0,0.0,0.0,0.0,0.0,19,27,9,10,24.1111,24.5,0.788,1.102,37.3272,40.8163,30,0,0,1.0,1.0,0.0,0.7143,0.7143,0.0,0,0,0.0,0.0,,,0,0.0,0,0,0,0,0.0,0.0,,,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2db614bf4ea19572e49994d9d18e90acaf882147,69e0a4f0b68f0549c083f94b4db16cf62f4be4ae,__COMMIT_TOTAL__,__COMMIT_TOTAL__,ALL,SUMMARY,6,2,8,25,28,1,1,0.04,0.0357,820.99,929.17,32.8396,33.1846,2,2,2,2,0,0,0,0,0,0,1.0,1.0,0.0,0,0,,,1.0,1.0,0.0,0.0,0.0,0.0,0.0,,,,,0,0,7,7,7,7,0.0,0.0,0.28,0.25,1.0,1.0,6,6,0.8571,0.8571,0.0,,,0.0,0.0,19,27,9,10,,,,,,,30,0,0,1.0,1.0,0.0,0.7143,0.7143,0.0,0,0,0.0,0.0,,,0,0.0,0,0,0,0,0.0,0.0,,,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
60685c95bdece53d102a7ef3c153633b7b441033,026088e253294657462848bf6c09fc792255cc90,build.gradle,build.gradle,Gradle,modified,4,8,12,21,18,1,1,0.0476,0.0556,677.26,650.73,32.2505,36.1517,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0,0,,,1.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0,0,4,3,4,3,0.0,0.0,0.1905,0.1667,1.0,1.0,4,3,1.0,1.0,0.0,0.0,0.0,0.0,0.0,17,29,3,4,20.6667,20.0,0.8226,1.45,14.5161,20.0,30,1,0,0.9524,1.0,0.0476,0.3175,0.3333,0.0158,0,0,0.0,0.0,,,0,0.0,0,0,1,0,0.0476,0.0,HARDCODED_PATHS_AND_URLS,,-1,-0.0476,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
